# Title: January - December 2023 Contiguous U.S. County Cooling Degree Days
# Units: Fahrenheit Degree-Days
# Note: Period of Record: 130 Years
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,Alabama,2333,109,242,2091
AL-003,Baldwin County,Alabama,2998,129,557,2441
AL-005,Barbour County,Alabama,2337,105,164,2173
AL-007,Bibb County,Alabama,2039,78,80,1959
AL-009,Blount County,Alabama,1788,90,124,1664
AL-011,Bullock County,Alabama,2216,97,136,2080
AL-013,Butler County,Alabama,2414,113,275,2139
AL-015,Calhoun County,Alabama,1801,88,125,1676
AL-017,Chambers County,Alabama,1711,71,32,1679
AL-019,Cherokee County,Alabama,1678,59,2,1676
AL-021,Chilton County,Alabama,2010,84,104,1906
AL-023,Choctaw County,Alabama,2611,130,439,2172
AL-025,Clarke County,Alabama,2546,122,351,2195
AL-027,Clay County,Alabama,1666,94,129,1537
AL-029,Cleburne County,Alabama,1600,91,130,1470
AL-031,Coffee County,Alabama,2508,112,249,2259
AL-033,Colbert County,Alabama,1780,90,127,1653
AL-035,Conecuh County,Alabama,2535,111,250,2285
AL-037,Coosa County,Alabama,1906,85,106,1800
AL-039,Covington County,Alabama,2583,119,284,2299
AL-041,Crenshaw County,Alabama,2341,109,236,2105
AL-043,Cullman County,Alabama,1725,85,98,1627
AL-045,Dale County,Alabama,2525,111,223,2302
AL-047,Dallas County,Alabama,2503,121,351,2152
AL-049,DeKalb County,Alabama,1346,35,-107,1453
AL-051,Elmore County,Alabama,2147,82,99,2048
AL-053,Escambia County,Alabama,2623,116,274,2349
AL-055,Etowah County,Alabama,1778,78,78,1700
AL-057,Fayette County,Alabama,1959,65,48,1911
AL-059,Franklin County,Alabama,1751,87,125,1626
AL-061,Geneva County,Alabama,2620,113,258,2362
AL-063,Greene County,Alabama,2257,78,78,2179
AL-065,Hale County,Alabama,2250,91,126,2124
AL-067,Henry County,Alabama,2513,109,201,2312
AL-069,Houston County,Alabama,2668,107,221,2447
AL-071,Jackson County,Alabama,1484,55,-21,1505
AL-073,Jefferson County,Alabama,2003,99,164,1839
AL-075,Lamar County,Alabama,2069,84,131,1938
AL-077,Lauderdale County,Alabama,1657,76,68,1589
AL-079,Lawrence County,Alabama,1680,74,38,1642
AL-081,Lee County,Alabama,1922,69,35,1887
AL-083,Limestone County,Alabama,1657,67,30,1627
AL-085,Lowndes County,Alabama,2477,114,290,2187
AL-087,Macon County,Alabama,2156,84,72,2084
AL-089,Madison County,Alabama,1667,71,46,1621
AL-091,Marengo County,Alabama,2469,116,301,2168
AL-093,Marion County,Alabama,1839,83,102,1737
AL-095,Marshall County,Alabama,1697,75,65,1632
AL-097,Mobile County,Alabama,3052,129,668,2384
AL-099,Monroe County,Alabama,2534,116,307,2227
AL-101,Montgomery County,Alabama,2289,87,125,2164
AL-103,Morgan County,Alabama,1721,75,69,1652
AL-105,Perry County,Alabama,2282,109,222,2060
AL-107,Pickens County,Alabama,2204,84,116,2088
AL-109,Pike County,Alabama,2350,108,205,2145
AL-111,Randolph County,Alabama,1680,97,149,1531
AL-113,Russell County,Alabama,2173,82,73,2100
AL-115,St. Clair County,Alabama,1863,96,148,1715
AL-117,Shelby County,Alabama,1972,95,141,1831
AL-119,Sumter County,Alabama,2387,108,215,2172
AL-121,Talladega County,Alabama,1915,99,149,1766
AL-123,Tallapoosa County,Alabama,1822,73,54,1768
AL-125,Tuscaloosa County,Alabama,2077,59,11,2066
AL-127,Walker County,Alabama,1910,73,72,1838
AL-129,Washington County,Alabama,2711,130,444,2267
AL-131,Wilcox County,Alabama,2534,119,340,2194
AL-133,Winston County,Alabama,1678,72,51,1627
AZ-001,Apache County,Arizona,626,121,195,431
AZ-003,Cochise County,Arizona,1806,126,405,1401
AZ-005,Coconino County,Arizona,839,111,193,646
AZ-007,Gila County,Arizona,1690,125,388,1302
AZ-009,Graham County,Arizona,1964,127,447,1517
AZ-011,Greenlee County,Arizona,1221,126,366,855
AZ-012,La Paz County,Arizona,4024,109,453,3571
AZ-013,Maricopa County,Arizona,3793,115,541,3252
AZ-015,Mohave County,Arizona,2121,95,192,1929
AZ-017,Navajo County,Arizona,820,114,202,618
AZ-019,Pima County,Arizona,3124,127,542,2582
AZ-021,Pinal County,Arizona,3500,126,576,2924
AZ-023,Santa Cruz County,Arizona,1580,125,343,1237
AZ-025,Yavapai County,Arizona,1571,113,291,1280
AZ-027,Yuma County,Arizona,4107,112,517,3590
AR-001,Arkansas County,Arkansas,2375,121,328,2047
AR-003,Ashley County,Arkansas,2532,126,455,2077
AR-005,Baxter County,Arkansas,1528,96,145,1383
AR-007,Benton County,Arkansas,1626,108,212,1414
AR-009,Boone County,Arkansas,1460,92,121,1339
AR-011,Bradley County,Arkansas,2363,118,325,2038
AR-013,Calhoun County,Arkansas,2227,100,174,2053
AR-015,Carroll County,Arkansas,1477,93,129,1348
AR-017,Chicot County,Arkansas,2544,124,377,2167
AR-019,Clark County,Arkansas,2125,89,136,1989
AR-021,Clay County,Arkansas,1818,93,145,1673
AR-023,Cleburne County,Arkansas,1824,113,266,1558
AR-025,Cleveland County,Arkansas,2261,113,253,2008
AR-027,Columbia County,Arkansas,2241,90,123,2118
AR-029,Conway County,Arkansas,2071,116,298,1773
AR-031,Craighead County,Arkansas,1918,99,169,1749
AR-033,Crawford County,Arkansas,1957,114,306,1651
AR-035,Crittenden County,Arkansas,2108,90,115,1993
AR-037,Cross County,Arkansas,2014,83,87,1927
AR-039,Dallas County,Arkansas,2131,95,136,1995
AR-041,Desha County,Arkansas,2402,121,306,2096
AR-043,Drew County,Arkansas,2428,123,368,2060
AR-045,Faulkner County,Arkansas,2096,114,287,1809
AR-047,Franklin County,Arkansas,1879,111,247,1632
AR-049,Fulton County,Arkansas,1551,110,239,1312
AR-051,Garland County,Arkansas,2075,111,281,1794
AR-053,Grant County,Arkansas,2227,110,236,1991
AR-055,Greene County,Arkansas,1854,99,166,1688
AR-057,Hempstead County,Arkansas,2148,87,113,2035
AR-059,Hot Spring County,Arkansas,2148,107,217,1931
AR-061,Howard County,Arkansas,1996,96,173,1823
AR-063,Independence County,Arkansas,1735,98,150,1585
AR-065,Izard County,Arkansas,1570,101,153,1417
AR-067,Jackson County,Arkansas,1861,91,132,1729
AR-069,Jefferson County,Arkansas,2335,120,313,2022
AR-071,Johnson County,Arkansas,1739,106,211,1528
AR-073,Lafayette County,Arkansas,2433,113,277,2156
AR-075,Lawrence County,Arkansas,1748,92,116,1632
AR-077,Lee County,Arkansas,2201,107,214,1987
AR-079,Lincoln County,Arkansas,2419,124,371,2048
AR-081,Little River County,Arkansas,2392,120,369,2023
AR-083,Logan County,Arkansas,2005,105,228,1777
AR-085,Lonoke County,Arkansas,2226,114,262,1964
AR-087,Madison County,Arkansas,1447,110,214,1233
AR-089,Marion County,Arkansas,1519,95,136,1383
AR-091,Miller County,Arkansas,2605,124,430,2175
AR-093,Mississippi County,Arkansas,1914,78,59,1855
AR-095,Monroe County,Arkansas,2294,116,287,2007
AR-097,Montgomery County,Arkansas,1942,110,251,1691
AR-099,Nevada County,Arkansas,2081,69,14,2067
AR-101,Newton County,Arkansas,1332,93,110,1222
AR-103,Ouachita County,Arkansas,2150,76,44,2106
AR-105,Perry County,Arkansas,2099,111,256,1843
AR-107,Phillips County,Arkansas,2317,118,294,2023
AR-109,Pike County,Arkansas,1995,97,168,1827
AR-111,Poinsett County,Arkansas,1960,90,123,1837
AR-113,Polk County,Arkansas,1682,92,156,1526
AR-115,Pope County,Arkansas,1801,105,200,1601
AR-117,Prairie County,Arkansas,2253,114,268,1985
AR-119,Pulaski County,Arkansas,2218,115,283,1935
AR-121,Randolph County,Arkansas,1699,95,148,1551
AR-123,St. Francis County,Arkansas,2114,98,143,1971
AR-125,Saline County,Arkansas,2145,115,279,1866
AR-127,Scott County,Arkansas,1883,107,219,1664
AR-129,Searcy County,Arkansas,1414,89,92,1322
AR-131,Sebastian County,Arkansas,2141,116,325,1816
AR-133,Sevier County,Arkansas,2144,108,259,1885
AR-135,Sharp County,Arkansas,1569,96,145,1424
AR-137,Stone County,Arkansas,1565,99,154,1411
AR-139,Union County,Arkansas,2349,113,252,2097
AR-141,Van Buren County,Arkansas,1637,103,177,1460
AR-143,Washington County,Arkansas,1643,115,278,1365
AR-145,White County,Arkansas,2063,115,280,1783
AR-147,Woodruff County,Arkansas,2070,103,174,1896
AR-149,Yell County,Arkansas,2033,105,214,1819
CA-001,Alameda County,California,686,113,211,475
CA-003,Alpine County,California,97,99,34,63
CA-005,Amador County,California,1043,101,156,887
CA-007,Butte County,California,1359,111,220,1139
CA-009,Calaveras County,California,1087,95,126,961
CA-011,Colusa County,California,1563,110,235,1328
CA-013,Contra Costa County,California,852,103,185,667
CA-015,Del Norte County,California,242,122,150,92
CA-017,El Dorado County,California,643,96,100,543
CA-019,Fresno County,California,781,99,138,643
CA-021,Glenn County,California,1455,112,210,1245
CA-023,Humboldt County,California,339,123,193,146
CA-025,Imperial County,California,4386,113,522,3864
CA-027,Inyo County,California,1698,69,74,1624
CA-029,Kern County,California,1583,75,75,1508
CA-031,Kings County,California,2024,104,272,1752
CA-033,Lake County,California,859,103,138,721
CA-035,Lassen County,California,302,111,100,202
CA-037,Los Angeles County,California,1166,96,178,988
CA-039,Madera County,California,857,96,124,733
CA-041,Marin County,California,115,119,77,38
CA-043,Mariposa County,California,778,96,110,668
CA-045,Mendocino County,California,437,121,142,295
CA-047,Merced County,California,1477,89,142,1335
CA-049,Modoc County,California,317,117,133,184
CA-051,Mono County,California,110,102,41,69
CA-053,Monterey County,California,562,106,171,391
CA-055,Napa County,California,851,99,143,708
CA-057,Nevada County,California,499,101,101,398
CA-059,Orange County,California,1117,101,235,882
CA-061,Placer County,California,591,98,100,491
CA-063,Plumas County,California,251,111,92,159
CA-065,Riverside County,California,2880,105,321,2559
CA-067,Sacramento County,California,1465,103,221,1244
CA-069,San Benito County,California,862,103,188,674
CA-071,San Bernardino County,California,2694,92,205,2489
CA-073,San Diego County,California,1267,94,167,1100
CA-075,San Francisco County,California,110,109,58,52
CA-077,San Joaquin County,California,1417,109,237,1180
CA-079,San Luis Obispo County,California,729,100,142,587
CA-081,San Mateo County,California,149,117,92,57
CA-083,Santa Barbara County,California,490,111,179,311
CA-085,Santa Clara County,California,627,111,203,424
CA-087,Santa Cruz County,California,277,119,174,103
CA-089,Shasta County,California,951,119,252,699
CA-091,Sierra County,California,196,104,67,129
CA-093,Siskiyou County,California,407,120,192,215
CA-095,Solano County,California,1022,94,154,868
CA-097,Sonoma County,California,307,109,115,192
CA-099,Stanislaus County,California,1366,100,172,1194
CA-101,Sutter County,California,1746,106,265,1481
CA-103,Tehama County,California,1261,98,154,1107
CA-105,Trinity County,California,618,122,238,380
CA-107,Tulare County,California,662,93,96,566
CA-109,Tuolumne County,California,344,92,61,283
CA-111,Ventura County,California,602,108,190,412
CA-113,Yolo County,California,1385,88,113,1272
CA-115,Yuba County,California,1422,101,197,1225
CO-001,Adams County,Colorado,644,77,58,586
CO-003,Alamosa County,Colorado,164,129,119,45
CO-005,Arapahoe County,Colorado,566,73,40,526
CO-007,Archuleta County,Colorado,171,129,120,51
CO-009,Baca County,Colorado,1070,73,31,1039
CO-011,Bent County,Colorado,1066,61,9,1057
CO-013,Boulder County,Colorado,128,72,15,113
CO-014,Broomfield County,Colorado,638,82,66,572
CO-015,Chaffee County,Colorado,7,129,7,0
CO-017,Cheyenne County,Colorado,878,72,28,850
CO-019,Clear Creek County,Colorado,0,1,0,0
CO-021,Conejos County,Colorado,41,130,39,2
CO-023,Costilla County,Colorado,80,129,69,11
CO-025,Crowley County,Colorado,966,101,164,802
CO-027,Custer County,Colorado,50,125,40,10
CO-029,Delta County,Colorado,474,122,249,225
CO-031,Denver County,Colorado,673,83,68,605
CO-033,Dolores County,Colorado,114,122,81,33
CO-035,Douglas County,Colorado,281,79,35,246
CO-037,Eagle County,Colorado,24,120,19,5
CO-039,Elbert County,Colorado,442,93,75,367
CO-041,El Paso County,Colorado,434,108,129,305
CO-043,Fremont County,Colorado,230,119,109,121
CO-045,Garfield County,Colorado,204,117,115,89
CO-047,Gilpin County,Colorado,6,96,3,3
CO-049,Grand County,Colorado,0,1,0,0
CO-051,Gunnison County,Colorado,12,127,12,0
CO-053,Hinsdale County,Colorado,0,1,0,0
CO-055,Huerfano County,Colorado,314,122,155,159
CO-057,Jackson County,Colorado,0,1,-1,1
CO-059,Jefferson County,Colorado,197,80,25,172
CO-061,Kiowa County,Colorado,961,61,-8,969
CO-063,Kit Carson County,Colorado,861,85,82,779
CO-065,Lake County,Colorado,0,1,0,0
CO-067,La Plata County,Colorado,224,125,154,70
CO-069,Larimer County,Colorado,62,88,20,42
CO-071,Las Animas County,Colorado,662,99,118,544
CO-073,Lincoln County,Colorado,674,88,84,590
CO-075,Logan County,Colorado,758,73,46,712
CO-077,Mesa County,Colorado,556,119,261,295
CO-079,Mineral County,Colorado,0,1,0,0
CO-081,Moffat County,Colorado,302,109,123,179
CO-083,Montezuma County,Colorado,535,118,215,320
CO-085,Montrose County,Colorado,528,122,278,250
CO-087,Morgan County,Colorado,729,93,112,617
CO-089,Otero County,Colorado,1017,80,77,940
CO-091,Ouray County,Colorado,87,124,77,10
CO-093,Park County,Colorado,0,1,0,0
