county_fips,county_name,state,num_datacenters
00060,nan,American Samoa,0.0
00064,nan,Federated States of Micronesia,0.0
00068,nan,Marshall Islands,0.0
00070,nan,Palau,0.0
00nan,<NA>,<NA>,0.0
01001,Autauga County,Alabama,0.0
01003,Baldwin County,Alabama,0.0
01005,Barbour County,Alabama,0.0
01007,Bibb County,Alabama,0.0
01009,Blount County,Alabama,0.0
01011,Bullock County,Alabama,0.0
01013,Butler County,Alabama,0.0
01015,Calhoun County,Alabama,1.0
01017,Chambers County,Alabama,0.0
01019,Cherokee County,Alabama,0.0
01021,Chilton County,Alabama,0.0
01023,Choctaw County,Alabama,0.0
01025,Clarke County,Alabama,0.0
01027,Clay County,Alabama,0.0
01029,Cleburne County,Alabama,0.0
01031,Coffee County,Alabama,0.0
01033,Colbert County,Alabama,0.0
01035,Conecuh County,Alabama,0.0
01037,Coosa County,Alabama,0.0
01039,Covington County,Alabama,0.0
01041,Crenshaw County,Alabama,0.0
01043,Cullman County,Alabama,0.0
01045,Dale County,Alabama,0.0
01047,Dallas County,Alabama,0.0
01049,DeKalb County,Alabama,0.0
01051,Elmore County,Alabama,0.0
01053,Escambia County,Alabama,0.0
01055,Etowah County,Alabama,0.0
01057,Fayette County,Alabama,0.0
01059,Franklin County,Alabama,0.0
01061,Geneva County,Alabama,0.0
01063,Greene County,Alabama,0.0
01065,Hale County,Alabama,0.0
01067,Henry County,Alabama,0.0
01069,Houston County,Alabama,0.0
01071,Jackson County,Alabama,3.0
01073,Jefferson County,Alabama,5.0
01075,Lamar County,Alabama,0.0
01077,Lauderdale County,Alabama,0.0
01079,Lawrence County,Alabama,0.0
01081,Lee County,Alabama,1.996661101836394
01083,Limestone County,Alabama,0.0
01085,Lowndes County,Alabama,0.0
01087,Macon County,Alabama,0.003338898163606
01089,Madison County,Alabama,9.0
01091,Marengo County,Alabama,0.0
01093,Marion County,Alabama,0.0
01095,Marshall County,Alabama,0.0
01097,Mobile County,Alabama,3.0
01099,Monroe County,Alabama,0.0
01101,Montgomery County,Alabama,2.0
01103,Morgan County,Alabama,0.0
01105,Perry County,Alabama,0.0
01107,Pickens County,Alabama,0.0
01109,Pike County,Alabama,0.0
01111,Randolph County,Alabama,0.0
01113,Russell County,Alabama,0.0
01115,St. Clair County,Alabama,0.0
01117,Shelby County,Alabama,1.0
01119,Sumter County,Alabama,0.0
01121,Talladega County,Alabama,0.0
01123,Tallapoosa County,Alabama,0.0
01125,Tuscaloosa County,Alabama,0.0
01127,Walker County,Alabama,0.0
01129,Washington County,Alabama,0.0
01131,Wilcox County,Alabama,0.0
01133,Winston County,Alabama,0.0
02013,Aleutians East Borough,Alaska,0.0
02016,Aleutians West Census Area,Alaska,0.0
02020,Anchorage Municipality,Alaska,2.0
02050,Bethel Census Area,Alaska,0.0
02060,Bristol Bay Borough,Alaska,0.0
02063,Chugach Census Area,Alaska,0.0
02066,Copper River Census Area,Alaska,0.0
02068,Denali Borough,Alaska,0.0
02070,Dillingham Census Area,Alaska,0.0
02090,Fairbanks North Star Borough,Alaska,1.0
02100,Haines Borough,Alaska,0.0
02105,Hoonah-Angoon Census Area,Alaska,0.0
02110,Juneau City and Borough,Alaska,0.0
02122,Kenai Peninsula Borough,Alaska,0.0
02130,Ketchikan Gateway Borough,Alaska,0.0
02150,Kodiak Island Borough,Alaska,0.0
02158,Kusilvak Census Area,Alaska,0.0
02164,Lake and Peninsula Borough,Alaska,0.0
02170,Matanuska-Susitna Borough,Alaska,0.0
02180,Nome Census Area,Alaska,0.0
02185,North Slope Borough,Alaska,1.0
02188,Northwest Arctic Borough,Alaska,0.0
02195,Petersburg Borough,Alaska,0.0
02198,Prince of Wales-Hyder Census Area,Alaska,0.0
02220,Sitka City and Borough,Alaska,0.0
02230,Skagway Municipality,Alaska,0.0
02240,Southeast Fairbanks Census Area,Alaska,0.0
02275,Wrangell City and Borough,Alaska,0.0
02282,Yakutat City and Borough,Alaska,0.0
02290,Yukon-Koyukuk Census Area,Alaska,0.0
04001,Apache County,Arizona,0.0
04003,Cochise County,Arizona,0.0
04005,Coconino County,Arizona,0.0
04007,Gila County,Arizona,0.0
04009,Graham County,Arizona,0.0
04011,Greenlee County,Arizona,0.0
04012,La Paz County,Arizona,0.0
04013,Maricopa County,Arizona,136.05
04015,Mohave County,Arizona,0.0
04017,Navajo County,Arizona,0.0
04019,Pima County,Arizona,9.886666666666667
04021,Pinal County,Arizona,16.063333333333336
04023,Santa Cruz County,Arizona,1.0
04025,Yavapai County,Arizona,0.0
04027,Yuma County,Arizona,0.0
05001,Arkansas County,Arkansas,0.0
05003,Ashley County,Arkansas,0.0
05005,Baxter County,Arkansas,0.0
05007,Benton County,Arkansas,0.0
05009,Boone County,Arkansas,0.0
05011,Bradley County,Arkansas,0.0
05013,Calhoun County,Arkansas,0.0
05015,Carroll County,Arkansas,0.0
05017,Chicot County,Arkansas,0.0
05019,Clark County,Arkansas,0.0
05021,Clay County,Arkansas,0.0
05023,Cleburne County,Arkansas,0.0
05025,Cleveland County,Arkansas,0.0
05027,Columbia County,Arkansas,0.0
05029,Conway County,Arkansas,0.0
05031,Craighead County,Arkansas,0.9991740088105728
05033,Crawford County,Arkansas,0.0
05035,Crittenden County,Arkansas,0.9736842105263158
05037,Cross County,Arkansas,0.0
05039,Dallas County,Arkansas,0.0
05041,Desha County,Arkansas,0.0
05043,Drew County,Arkansas,0.0
05045,Faulkner County,Arkansas,1.0
05047,Franklin County,Arkansas,0.0
05049,Fulton County,Arkansas,0.0
05051,Garland County,Arkansas,0.0
05053,Grant County,Arkansas,0.0
05055,Greene County,Arkansas,0.0008259911894273
05057,Hempstead County,Arkansas,0.0
05059,Hot Spring County,Arkansas,0.0
05061,Howard County,Arkansas,0.0
05063,Independence County,Arkansas,0.0
05065,Izard County,Arkansas,0.0
05067,Jackson County,Arkansas,0.0
05069,Jefferson County,Arkansas,0.0
05071,Johnson County,Arkansas,1.0
05073,Lafayette County,Arkansas,0.0
05075,Lawrence County,Arkansas,0.0
05077,Lee County,Arkansas,0.0
05079,Lincoln County,Arkansas,0.0
05081,Little River County,Arkansas,0.0
05083,Logan County,Arkansas,0.0
05085,Lonoke County,Arkansas,0.0
05087,Madison County,Arkansas,0.0
05089,Marion County,Missouri,0.0
05091,Miller County,Arkansas,0.0
05093,Mississippi County,Arkansas,0.0
05095,Monroe County,Arkansas,0.0
05097,Montgomery County,Arkansas,0.0
05099,Nevada County,Arkansas,0.0
05101,Newton County,Arkansas,0.0
05103,Ouachita County,Arkansas,0.0
05105,Perry County,Arkansas,0.0
05107,Phillips County,Arkansas,0.0
05109,Pike County,Arkansas,0.0
05111,Poinsett County,Arkansas,0.0
