state,county,air_connectivity,rail_intensity,infrastructure_quality,dock_presence,county_fips,community_resilience_value,community_risk_factor_value,cold_wave_risk_index_value,drought_risk_index_value,earthquake_risk_index_value,hail_risk_index_value,heat_wave_risk_index_value,hurricane_risk_index_value,ice_storm_risk_index_value,landslide_risk_index_value,lightning_risk_index_value,riverine_flooding_risk_index_value,strong_wind_risk_index_value,tornado_risk_index_value,wildfire_risk_index_value,winter_weather_risk_index_value,wage_trade_transport_utilities,wage_information,wage_prof_business,has_policy_signal,policy_direction_score
Alabama,Autauga County,0.5306282510621704,3.951243718581427,0.6822033898305084,0.0,01001,2.60499501228333,1.11643126142887,0.0,28542.3888996837,225054.128077007,152041.957165077,879979.373803181,1014607.51380211,14806.8427623184,24999.6673168829,122515.258209036,522218.853622785,318588.627575297,2831744.64759342,12460.1565697044,8494.90650846154,922.0,1635.0,1246.0,,
Alabama,Baldwin County,1.410986973710262,3.4339872044851463,0.7349081364829396,0.0,01003,2.7450749874115,1.04265803123774,0.0,484573.697841766,469517.927270222,124028.950213662,1243721.91500542,189532002.641044,26003.6917686597,37576.5822447088,4059185.19015441,3357800.55331201,430872.29421911,7982720.45598945,2622278.02460112,65619.7016377722,894.0,0.0,1064.0,,
Alabama,Barbour County,0.4700036292457356,2.772588722239781,0.7630208333333334,0.0,01005,2.38356804847717,1.57208106462055,0.0,295053.353506278,110215.770452356,68324.8327498312,282158.14828975,3079796.2039001,10210.2395098078,34516.9706282134,377903.219108862,41316.5699834503,242098.28858575,2845055.67831393,10688.6114402341,15501.7303354784,821.0,0.0,652.0,,
Alabama,Bibb County,0.3364722366212129,3.258096538021482,0.7222222222222222,0.0,01007,2.47152495384216,1.22078060632815,0.0,4764.18621178188,287537.327226677,81868.7024954947,242825.877679116,222610.978950315,46744.5187176959,25022.8233157217,75878.4916374567,118776.778965316,134952.231540102,2609927.2035463,5341.68720078531,7496.18693988364,771.0,0.0,1063.0,,
Alabama,Blount County,0.3364722366212129,2.6390573296152584,0.525,0.0,01009,2.48838210105896,1.20322019993866,0.0,32581.6218786359,590351.881804892,82093.1761638684,636858.234646194,301012.06014372,110426.602305038,25896.17058138,428957.218436996,212624.040568814,862779.637945118,6930681.58934847,7098.89692153397,17175.1607288692,823.0,1102.0,1022.0,,
Alabama,Bullock County,0.3364722366212129,0.0,0.5955882352941176,0.0,01011,2.4630401134491,1.36967216784804,0.0,1190507.06120901,65510.019699853,30846.027244025,63925.8032620778,1058106.94235248,4107.44411134346,29289.5899563213,133978.287693775,72868.6466011075,118161.558198534,1083750.62137002,3475.31663520939,7340.31470585199,833.0,1225.0,1148.0,,
Alabama,Butler County,0.3364722366212129,3.828641396489095,0.6296296296296297,0.0,01013,2.55650806427002,1.24609008780316,0.0,55185.8172802498,109944.899387387,23492.1039374077,140466.38181812,4249437.52486051,3203.98027818871,27163.3896634039,350230.751965933,168870.845836092,246417.733248642,1589415.91915627,5102.50337167789,9478.88353028856,821.0,776.0,747.0,,
Alabama,Calhoun County,0.6931471805599453,4.204692619390966,0.6450777202072538,0.0,01015,2.58579397201538,1.21420313392394,0.0,26855.4444998046,1396348.86611797,215858.135408059,1053464.18780348,1271868.855433,21792.616797238,193267.703283203,322755.546737899,999111.363254794,971517.695082781,19714704.9917873,10352.3102129187,35926.1902929671,814.0,953.0,869.0,,
Alabama,Chambers County,0.3364722366212129,3.4011973816621555,0.7189189189189189,0.0,01017,2.55791902542114,1.39876490106521,0.0,7834.73650147531,331707.248578434,45146.1786363776,529098.066657388,1275348.06002548,69276.7098979836,28768.7957535424,140809.894854518,406860.142334637,207821.616335374,1977422.14019942,12180.5540160853,8875.44804706408,809.0,1233.0,699.0,,
Alabama,Cherokee County,0.5306282510621704,0.0,0.6467065868263473,0.0,01019,2.43979692459106,1.14170499074545,0.0,85240.2155577342,544059.41493297,51115.1657514368,211083.2211641,277295.434011738,40052.150276985,24418.4014508602,118722.900211362,249561.326437375,214301.918872556,3178254.22510797,2114.7921133592,8944.75475528167,820.0,878.0,875.0,,
Alabama,Chilton County,0.5306282510621704,4.0943445622221,0.746031746031746,0.0,01021,2.48162388801575,1.30084535428469,0.0,15857.4917948227,452287.088168305,73253.2060512532,526611.315477441,586761.650085598,91308.1699629384,28083.3452468435,311096.739482507,177104.266258883,304613.878055711,5433559.21710398,21637.4139435558,12394.812962618,906.0,914.0,806.0,,
Alabama,Choctaw County,0.1823215567939546,3.332204510175204,0.672077922077922,0.0,01023,2.40119504928589,1.40444227509691,0.0,4459.39148293865,308784.562117103,691872.242174146,122888.649094801,8433354.64270668,156613.385073114,30101.7976078767,167445.94455987,1446120.34145606,388747.360278453,2971719.35723242,25602.693420217,16225.0218300261,751.0,699.0,930.0,,
Alabama,Clarke County,0.3364722366212129,3.784189633918261,0.8516129032258064,0.0,01025,2.4842050075531,1.45015055335981,0.0,7341.03523370887,126826.902112412,47755.3632098494,427087.37713237,9483555.91302713,11498.2970457562,31266.7744248164,282017.476737137,359167.578003838,262430.267147026,2088235.28164287,37857.5462270328,18403.3387348969,753.0,561.0,830.0,,
Alabama,Clay County,0.3364722366212129,3.4011973816621555,0.5930232558139535,0.0,01027,2.55966401100159,1.30178609678941,0.0,2835.26890128334,132415.447033042,33163.6331570772,102904.63208541,482118.174124281,12452.8786897207,27199.0381290336,82442.6483919001,79251.4008055445,135693.791295099,1748897.26298868,32151.0029717391,8232.11064276498,686.0,943.0,745.0,,
Alabama,Cleburne County,0.0,3.044522437723423,0.6303030303030303,0.0,01029,2.38887095451355,1.25582009568684,0.0,8071.58210114511,116725.588362102,15670.0524090378,87344.1172284151,328681.670037494,19795.9848352439,27789.8336083927,88639.4399630735,54392.3086809758,253823.494653946,1860353.51423749,34084.3492498696,7315.6229804349,878.0,2129.0,848.0,,
Alabama,Coffee County,0.8754687373538999,1.791759469228055,0.7893518518518519,0.0,01031,2.56846690177917,1.22927935885517,0.0,285800.161077728,255139.670223788,65710.5409674525,95679.2901838408,29542832.5071801,6814.94035606285,26108.5202478512,886385.053800144,1634198.47761077,816418.468616538,6647504.66810842,37007.7119474802,55226.6053543802,829.0,960.0,1027.0,,
