rank,county_key,county,state,county_fips,num_datacenters,p_presence,expected_scale,attractiveness
1,Virginia||Loudoun County,Loudoun County,Virginia,51107,304.0068137810185,0.9881,19.8875,19.6507
2,Virginia||Fairfax County,Fairfax County,Virginia,51059,48.99318621898149,0.9958,19.0034,18.923
3,Virginia||Prince William County,Prince William County,Virginia,51153,111.60950946472562,0.9859,18.0801,17.8243
4,Texas||Travis County,Travis County,Texas,48453,24.432787163453753,0.999,16.7375,16.7208
5,Texas||Dallas County,Dallas County,Texas,48113,125.73755290449536,0.9989,16.7375,16.7189
6,California||Los Angeles County,Los Angeles County,California,6037,73.95062830723306,0.9987,16.7375,16.7165
7,California||San Diego County,San Diego County,California,6073,15.0,0.9987,16.7375,16.7159
8,Washington||King County,King County,Washington,53033,55.0,0.9985,16.7375,16.7122
9,California||Santa Clara County,Santa Clara County,California,6085,80.0,0.9984,16.7375,16.7103
10,Georgia||Fulton County,Fulton County,Georgia,13121,54.84303273591893,0.9991,15.9934,15.9796
11,California||Orange County,Orange County,California,6059,16.04906333630687,0.9973,15.9934,15.95
12,Ohio||Franklin County,Franklin County,Ohio,39049,69.17718615858647,0.9986,15.0338,15.0128
13,Colorado||Denver County,Denver County,Colorado,8031,13.261873205017796,0.9987,14.4943,14.4749
14,Florida||Miami-Dade County,Miami-Dade County,Florida,12086,39.997757847533634,0.9937,14.2319,14.1416
15,California||Contra Costa County,Contra Costa County,California,6013,0.000383877159309,0.9993,13.9286,13.9192
16,Arizona||Maricopa County,Maricopa County,Arizona,4013,136.05,0.9991,13.7367,13.7243
17,Texas||Harris County,Harris County,Texas,48201,50.765563302421086,0.999,13.7367,13.7233
18,Texas||Tarrant County,Tarrant County,Texas,48439,19.45348321515374,0.9983,13.5128,13.4904
19,Nevada||Clark County,Clark County,Nevada,32003,36.0,0.9976,13.5128,13.4803
20,Minnesota||Hennepin County,Hennepin County,Minnesota,27053,28.0,0.999,13.3866,13.3734
21,Illinois||Cook County,Cook County,Illinois,17031,110.34044547047652,0.9994,13.3516,13.3431
22,Florida||Palm Beach County,Palm Beach County,Florida,12099,9.0,0.9936,13.166,13.0818
23,Illinois||DuPage County,DuPage County,Illinois,17043,38.879668305611,0.9991,12.8238,12.8126
24,Massachusetts||Middlesex County,Middlesex County,Massachusetts,25017,27.002625268924916,0.9993,12.7581,12.7489
25,California||Sacramento County,Sacramento County,California,6067,18.0,0.999,12.6749,12.6626
26,Tennessee||Davidson County,Davidson County,Tennessee,47037,13.32360231917118,0.9963,12.6542,12.6072
27,Ohio||Licking County,Licking County,Ohio,39089,43.67887278306466,0.9814,12.8199,12.5813
28,New York||New York County,New York County,New York,36061,43.98959778085992,0.9974,12.5027,12.4705
29,California||San Francisco County,San Francisco County,California,6075,12.0,0.9956,12.5027,12.4473
30,Oregon||Washington County,Washington County,Oregon,41067,35.00059382422803,0.9982,12.2977,12.2757
31,Pennsylvania||Philadelphia County,Philadelphia County,Pennsylvania,42101,17.0,0.9989,12.272,12.2583
32,Texas||Collin County,Collin County,Texas,48085,31.961871109775036,0.9984,12.2618,12.242
33,Tennessee||Hamilton County,Hamilton County,Tennessee,47065,5.0,0.9988,12.2122,12.1979
34,Pennsylvania||Allegheny County,Allegheny County,Pennsylvania,42003,27.101302460202604,0.9988,12.034,12.0192
35,Missouri||St. Louis City,St. Louis City,Missouri,29510,13.0,0.9923,11.8998,11.8085
36,Nevada||Storey County,Storey County,Nevada,32029,7.363253856942496,0.9797,12.0263,11.782
